,MLMP (Bagging),HLM_ELM
Blood Transfusion,0.547514619883041,0.5942982456140351
Blood Transfusion,0.570906432748538,0.570906432748538
Blood Transfusion,0.6213450292397661,0.6396198830409356
Blood Transfusion,0.5582706766917294,0.6165413533834586
Blood Transfusion,0.5209273182957393,0.5946115288220551
Steel Plates Fault,0.8074074074074074,0.8695392242636337
Steel Plates Fault,0.6455223880597015,0.6868022094253143
Steel Plates Fault,0.7238805970149254,0.7474438829474674
Steel Plates Fault,0.837037037037037,0.6377397160005855
Steel Plates Fault,0.6888888888888889,0.6453959888742498
Sick,0.5,0.5
Sick,0.5,0.5106382978723404
Sick,0.5,0.5
Sick,0.5,0.5
Sick,0.5,0.5
