,HLM_ELM,MLMP,SLMP,SLMPbox,Linear SVC,RBF SVC,DEP,r-DEP (Ensemble),r-DEP (Bagging)
Breast Cancer Wisconsin,0.9299050114641336,0.9439895185063871,0.8974778905994104,0.8974778905994104,0.9534883720930232,0.9697019325253848,0.9390763183753685,0.9788732394366197,0.9788732394366197
Breast Cancer Wisconsin,0.9672453324598755,0.9277759580740256,0.9277759580740256,0.913691451031772,0.9788732394366197,0.9859154929577465,0.9112348509662627,0.971830985915493,0.9647887323943662
Breast Cancer Wisconsin,0.9007936507936507,0.9146825396825397,0.9216269841269842,0.8869047619047619,0.9692460317460317,0.9692460317460317,0.8968253968253967,0.9692460317460317,0.9623015873015872
Breast Cancer Wisconsin,0.9265873015873016,0.9503968253968254,0.8869047619047619,0.8660714285714286,0.9573412698412699,0.9692460317460317,0.9067460317460317,0.9692460317460317,0.9603174603174602
Breast Cancer Wisconsin,0.9409792085848423,0.9382964453386988,0.8668678739101274,0.8457411133467472,0.9810529845741114,0.9761904761904762,0.919852448021462,0.9669684775318578,0.9669684775318578
Diabetes,0.7255555555555555,0.6885185185185185,0.49851851851851847,0.48851851851851846,0.717037037037037,0.7262962962962962,0.6007407407407407,0.7559259259259259,0.731111111111111
Diabetes,0.7518518518518519,0.6792592592592592,0.5362962962962963,0.5362962962962963,0.7575925925925926,0.7861111111111111,0.6390740740740741,0.7374074074074074,0.7644444444444445
Diabetes,0.7342592592592592,0.6224074074074074,0.5185185185185185,0.5185185185185185,0.7485185185185186,0.7022222222222222,0.6683333333333333,0.7503703703703704,0.7253703703703703
Diabetes,0.7124528301886792,0.6808490566037736,0.5188679245283019,0.5188679245283019,0.7080188679245283,0.6835849056603773,0.6989622641509434,0.7256603773584906,0.7350943396226415
Diabetes,0.6691509433962264,0.5537735849056604,0.5188679245283019,0.5188679245283019,0.6652830188679245,0.6358490566037736,0.6801886792452829,0.6812264150943397,0.6873584905660377
Banknote,1.0,0.9877049180327868,0.5573770491803278,0.5868959605700204,0.9893656916318441,1.0,0.4484624450873246,1.0,1.0
Banknote,0.9901960784313726,0.9787313832636879,0.6024590163934427,0.6819886424515161,0.9869281045751634,1.0,0.48861566484517305,0.9967320261437909,0.9967320261437909
Banknote,0.986842105263158,0.9893226919758412,0.5581859361518551,0.6278580672993961,0.9802631578947368,1.0,0.31994176013805004,1.0,1.0
Banknote,0.9901315789473684,0.9926121656600517,0.5876833477135461,0.6704594477998275,0.9835526315789473,1.0,0.4989754098360656,1.0,1.0
Banknote,1.0,1.0,0.5827761000862813,0.673748921484038,0.9901315789473684,1.0,0.42434210526315785,1.0,1.0
Spambase,0.7763189075505792,0.6135623093101099,0.5466838472703576,0.5466838472703576,0.9220874433484405,0.927463787434462,0.7569833229657277,0.9142895227939216,0.9344174886696881
Spambase,0.7634241880202383,0.6515769742471228,0.568638069943766,0.568638069943766,0.9233595956298748,0.9237775172980004,0.6734572755463892,0.9207432576128513,0.9248606515621368
Spambase,0.7927059067911035,0.6819418272821243,0.5474971685188758,0.5474971685188758,0.9206047746932357,0.9223382840977096,0.5017953321364452,0.9212699872892463,0.9303084707034437
Spambase,0.8480613477494604,0.7083754133745223,0.5274361868551852,0.5274361868551852,0.934033347194994,0.9380284758114021,0.5008960573476703,0.9279837224499494,0.9394839501772312
Spambase,0.7324105427830254,0.6599586130418424,0.5372532129349096,0.5372532129349096,0.9189142359254638,0.9215281490722589,0.6792411730925365,0.9124883661062595,0.9268648884136319
Ionosphere,0.9311965811965812,0.5,0.5,0.5,0.9038461538461539,0.9504273504273504,0.9311965811965812,0.8897435897435897,0.9393162393162393
Ionosphere,0.8044444444444444,0.5,0.5,0.5,0.8488888888888888,0.9088888888888889,0.9066666666666667,0.7977777777777778,0.9488888888888889
Ionosphere,0.78,0.5,0.5,0.5,0.8666666666666667,0.96,0.2777777777777778,0.9199999999999999,0.98
Ionosphere,0.7177777777777778,0.5,0.5,0.5,0.8177777777777778,0.9199999999999999,0.9288888888888889,0.8688888888888888,0.9377777777777778
Ionosphere,0.7733333333333334,0.5,0.5,0.5,0.8377777777777777,0.8977777777777778,0.8,0.9177777777777778,0.9355555555555555
Colic,0.7305900621118013,0.5923913043478262,0.5046583850931676,0.5194099378881988,0.8097826086956521,0.8206521739130435,0.5,0.78027950310559,0.7468944099378882
Colic,0.6686367218282112,0.5,0.5480693459416863,0.5216706067769897,0.7029156816390859,0.7828999211977936,0.6201733648542159,0.6765169424743893,0.7454688731284476
Colic,0.7269503546099291,0.5023640661938534,0.5267927501970056,0.5374310480693459,0.7880220646178093,0.764381402679275,0.5106382978723404,0.7612293144208038,0.7663514578408195
Colic,0.7801932367149759,0.5,0.5466988727858293,0.5575684380032206,0.8486312399355878,0.8595008051529791,0.7560386473429952,0.7693236714975846,0.787842190016103
Colic,0.7355072463768115,0.45652173913043476,0.5575684380032206,0.5607890499194848,0.857487922705314,0.8747987117552335,0.5676328502415459,0.8293075684380031,0.8478260869565217
Sonar,0.6204545454545455,0.7113636363636364,0.46136363636363636,0.6727272727272727,0.7136363636363636,0.8795454545454545,0.5227272727272727,0.8318181818181818,0.8545454545454545
Sonar,0.6409090909090909,0.6590909090909092,0.48863636363636365,0.43863636363636366,0.759090909090909,0.7840909090909092,0.4840909090909091,0.8318181818181818,0.7840909090909092
Sonar,0.7116704805491991,0.6235697940503433,0.5011441647597253,0.5377574370709383,0.7116704805491991,0.8077803203661327,0.40617848970251713,0.8295194508009154,0.8203661327231122
Sonar,0.6566985645933014,0.7356459330143541,0.4688995215311005,0.5956937799043062,0.742822966507177,0.8720095693779905,0.3397129186602871,0.9055023923444976,0.8755980861244019
Sonar,0.7165071770334928,0.6758373205741627,0.3971291866028708,0.569377990430622,0.8002392344497608,0.8492822966507176,0.47607655502392343,0.9210526315789473,0.8265550239234449
Tic-Tac-Toe,0.6677489177489178,0.5,0.5,0.5,0.5,0.8174603174603174,0.4895382395382395,0.841991341991342,0.852092352092352
Tic-Tac-Toe,0.574865671641791,0.5,0.5,0.5,0.5,0.8432835820895522,0.3745671641791045,0.8859104477611941,0.8701492537313433
Tic-Tac-Toe,0.6580298507462687,0.5,0.5,0.5,0.5,0.8134328358208955,0.5641194029850747,0.9088358208955223,0.8522985074626865
Tic-Tac-Toe,0.6445454545454545,0.5,0.5,0.5,0.5,0.8787878787878788,0.5554545454545454,0.870969696969697,0.8781212121212121
Tic-Tac-Toe,0.5710909090909091,0.5,0.5,0.5,0.5,0.8667878787878788,0.5516969696969697,0.906969696969697,0.8701212121212121
